	Unnamed: 0	LM_ID	Common Name	Adduct	Category	Main Class	Sub Class	Exact m/z	Formula	Observed m/z	ppm Error	RT	NET	Intensity	Peak Area	Score	MS/MS Scan	Precursor Scan	Apex Scan	PUBCHEM_SID	PUBCHEM_CID	INCHI_KEY	KEGG_ID	HMDBID	CHEBI_ID	LIPIDAT_ID	LIPIDBANK_ID	Pearson Corr Score	Pearson Corr M-1 Score	Cosine Score	Cosine M-1 Score	Class
973	973	XXX_LMGP04010236	PG(17:7/18:11)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	727.2672	C41H44O10P1	727.2613109	-8.097592893	38.38376	0.425893481	14535.76465		-9.330454142999999	3602	3601	3588	123064061.0	52926501.0	XNSNNULVIYTIIC-JBMUNEHNSA-N			0	0		0.998874957	0.0	0.995365715	0.0	0
974	974	XXX_LMGP04010433	PG(17:7/18:11)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	727.2672	C41H44O10P1	727.2613109	-8.097592893	38.38376	0.425893481	14535.76465		-9.330454142999999	3602	3601	3588	123064258.0	52926698.0	HKEXEIZMNREYLD-VOHGRDSWSA-N			0	0		0.998874957	0.0	0.995365715	0.0	0
975	975	XXX_LMGP04010261	PG(17:8/18:10)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	727.2672	C41H44O10P1	727.2613109	-8.097592893	38.38376	0.425893481	14535.76465		-9.330454142999999	3602	3601	3588	123064086.0	52926526.0	HHOWDZWBYWIDJW-PTZNIXOCSA-N			0	0		0.998874957	0.0	0.995365715	0.0	0
976	976	XXX_LMGP04010262	PG(17:8/18:10)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	727.2672	C41H44O10P1	727.2613109	-8.097592893	38.38376	0.425893481	14535.76465		-9.330454142999999	3602	3601	3588	123064087.0	52926527.0	PQEYJCHVTWVVAP-NSVJKKFVSA-N			0	0		0.998874957	0.0	0.995365715	0.0	0
977	977	XXX_LMGP04010375	PG(17:8/18:10)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	727.2672	C41H44O10P1	727.2613109	-8.097592893	38.38376	0.425893481	14535.76465		-9.330454142999999	3602	3601	3588	123064200.0	52926640.0	BVCAYNMTQRENAL-KUDWPPLOSA-N			0	0		0.998874957	0.0	0.995365715	0.0	0
978	978	XXX_LMGP04010405	PG(17:8/18:10)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	727.2672	C41H44O10P1	727.2613109	-8.097592893	38.38376	0.425893481	14535.76465		-9.330454142999999	3602	3601	3588	123064230.0	52926670.0	PJDVMSNFKJPOAX-NSVJKKFVSA-N			0	0		0.998874957	0.0	0.995365715	0.0	0
979	979	XXX_LMGP04010290	PG(17:9/18:9)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	727.2672	C41H44O10P1	727.2613109	-8.097592893	38.38376	0.425893481	14535.76465		-9.330454142999999	3602	3601	3588	123064115.0	52926555.0	CYYNZDOXUBTSQH-XUARNJQFSA-N			0	0		0.998874957	0.0	0.995365715	0.0	0
980	980	XXX_LMGP04010349	PG(17:9/18:9)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	727.2672	C41H44O10P1	727.2613109	-8.097592893	38.38376	0.425893481	14535.76465		-9.330454142999999	3602	3601	3588	123064174.0	52926614.0	WQQVJHGQQSQMOR-XUARNJQFSA-N			0	0		0.998874957	0.0	0.995365715	0.0	0
990	990	XXX_LMGP04010944	PG(22:7/22:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	861.4707	C50H70O10P1	861.4970593	30.59713913	39.09592667	0.433795446	5778.5625		-5.191777379	3677	3666	3653	123064769.0	52927207.0	BRMRWYDGBOYSQF-JYHRMSDVSA-N			0	0		0.993535784	0.0	0.997781606	0.0	0
1212	1212	XXX_LMGP04010031	PG(8:7/8:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	469.0325	C22H14O10P1	469.0266302	-12.51494109	3.173873333	0.03526544	347697.375		-9.330454142999999	281	272	272	14714403.0	9547125.0	BQEXNLVNNRZNEI-VQTJNVASSA-N			0	9129		1.0	0.0	0.992520245	0.0	0
1305	1305	XXX_895	PG(13:8/18:11)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	669.189	C37H34O10P1	669.1596047	-43.928626	9.071706667	0.100797258	0.0		-9.330454142999999	780	779	805						0	0		0.943969437	0.0	0.923201287	0.0	0
1306	1306	XXX_990	PG(16:11/15:8)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	669.189	C37H34O10P1	669.1596047	-43.928626	9.071706667	0.100797258	0.0		-8.590258529	780	779	805						0	0		0.943969437	0.0	0.923201287	0.0	0
1660	1660	XXX_LMGP04010969	PG(16:7/22:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4034897999999	34.3319234	25.40987333	0.282333374	11254.34277		-9.330454142999999	2454	2443	2417	123064794.0	52927232.0	AVYCPFCVUIQANK-ACEXITHZSA-N			0	0		0.998508396	0.0	0.992148827	0.0	0
1661	1661	XXX_LMGP04010705	PG(16:7/22:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4034897999999	34.3319234	25.40987333	0.282333374	11254.34277		-9.330454142999999	2454	2443	2417	123064530.0	52926970.0	IJGNYRALFZQDBU-ACEXITHZSA-N			0	0		0.998508396	0.0	0.992148827	0.0	0
1662	1662	XXX_LMGP04010243	PG(17:7/21:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4034897999999	34.3319234	25.40987333	0.282333374	11254.34277		-5.821188368	2454	2443	2417	123064068.0	52926508.0	HRIUOHXLFSYLLE-ACEXITHZSA-N			0	0		0.998508396	0.0	0.992148827	0.0	0
1663	1663	XXX_LMGP04010682	PG(17:7/21:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4034897999999	34.3319234	25.40987333	0.282333374	11254.34277		-5.821188368	2454	2443	2417	123064507.0	52926947.0	BDCQSBKXGUEMPI-ACEXITHZSA-N			0	0		0.998508396	0.0	0.992148827	0.0	0
1664	1664	XXX_LMGP04010965	PG(18:7/20:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4034897999999	34.3319234	25.40987333	0.282333374	11254.34277		-7.364536415	2454	2443	2417	123064790.0	52927228.0	FPQWNUSDDZYJOS-ACEXITHZSA-N			0	0		0.998508396	0.0	0.992148827	0.0	0
1665	1665	XXX_LMGP04010953	PG(18:7/20:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4034897999999	34.3319234	25.40987333	0.282333374	11254.34277		-7.364536415	2454	2443	2417	123064778.0	52927216.0	GEIDVWGVYXUOJJ-ACEXITHZSA-N			0	0		0.998508396	0.0	0.992148827	0.0	0
1666	1666	XXX_LMGP04010868	PG(19:7/19:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4034897999999	34.3319234	25.40987333	0.282333374	11254.34277		6.465812463	2454	2443	2417	123064693.0	52927133.0	QQAUZBJYZARSDB-ACEXITHZSA-N			0	0		0.998508396	0.0	0.992148827	0.0	0
1749	1749	XXX_LMGP04010048	PG(12:7/15:8)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	621.189	C33H34O10P1	621.1753097	-22.03942728	27.41570667	0.304620526	190634.0625		-9.330454142999999	2608	2599	2612	123063873.0	52926313.0	WSJHALNWVJOWBQ-YCBBFNCBSA-N			0	0		1.0	0.0	0.995382672	0.0	0
1750	1750	XXX_LMGP04010161	PG(12:7/15:8)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	621.189	C33H34O10P1	621.1753097	-22.03942728	27.41570667	0.304620526	190634.0625		-9.330454142999999	2608	2599	2612	123063986.0	52926426.0	PTDCHYUZNINITM-YCBBFNCBSA-N			0	0		1.0	0.0	0.995382672	0.0	0
1751	1751	XXX_LMGP04010070	PG(13:7/14:8)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	621.189	C33H34O10P1	621.1753097	-22.03942728	27.41570667	0.304620526	190634.0625		-9.330454142999999	2608	2599	2612	123063895.0	52926335.0	KXGQVUOZHICTOQ-XXFKESNDSA-N			0	0		1.0	0.0	0.995382672	0.0	0
1752	1752	XXX_LMGP04010110	PG(13:7/14:8)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	621.189	C33H34O10P1	621.1753097	-22.03942728	27.41570667	0.304620526	190634.0625		-9.330454142999999	2608	2599	2612	123063935.0	52926375.0	LXJCMLHVLAKIGZ-XXFKESNDSA-N			0	0		1.0	0.0	0.995382672	0.0	0
1753	1753	XXX_881	PG(13:8/14:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	621.189	C33H34O10P1	621.1753097	-22.03942728	27.41570667	0.304620526	190634.0625		-9.330454142999999	2608	2599	2612						0	0		1.0	0.0	0.995382672	0.0	0
1809	1809	XXX_LMGP04010969	PG(16:7/22:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4030526	33.76956412	29.59120667	0.328792872	541326.0		-5.191777379	2801	2794	2820	123064794.0	52927232.0	AVYCPFCVUIQANK-ACEXITHZSA-N			0	0		0.999707229	0.0	0.999682244	0.0	0
1810	1810	XXX_LMGP04010705	PG(16:7/22:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4030526	33.76956412	29.59120667	0.328792872	541326.0		-5.191777379	2801	2794	2820	123064530.0	52926970.0	IJGNYRALFZQDBU-ACEXITHZSA-N			0	0		0.999707229	0.0	0.999682244	0.0	0
